,Unnamed: 0,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Y,X
3164,3164,Paris85,48.851208951101945,2.358338997642237,Café Med,48.85272560657876,2.353989380912962,French Restaurant,5488678.272844435,-426625.75868060265
3169,3169,Paris85,48.851208951101945,2.358338997642237,L'Ébouillanté,48.854887506938255,2.355199456214905,French Restaurant,5488902.79589419,-426496.84705282527
3174,3174,Paris85,48.851208951101945,2.358338997642237,Chez Julien,48.85472505236702,2.3551243543624882,French Restaurant,5488885.728731249,-426505.3768339843
3179,3179,Paris85,48.851208951101945,2.358338997642237,Pain d'Epices,48.85328136217486,2.3537753202645795,French Restaurant,5488742.476232257,-426631.0042459895
3183,3183,Paris85,48.851208951101945,2.358338997642237,Café Louis-Philippe,48.85462024800882,2.354770302772522,French Restaurant,5488878.492317257,-426533.2173867759
3186,3186,Paris86,48.85239449781442,2.3689797569717514,Gaspard de la Nuit,48.85410155334177,2.3673950733099174,French Restaurant,5488665.201437285,-425620.1118827753
3196,3196,Paris86,48.85239449781442,2.3689797569717514,Capitaine,48.854116999999995,2.365813,French Restaurant,5488686.432338646,-425735.4657663767
3202,3202,Paris86,48.85239449781442,2.3689797569717514,Vins des Pyrénées,48.85371248516514,2.3644620724780503,French Restaurant,5488658.295044562,-425841.7771426792
3203,3203,Paris86,48.85239449781442,2.3689797569717514,Le Temps des Cerises,48.85255362794661,2.364194654389621,French Restaurant,5488533.2308704965,-425882.9955644127
3219,3219,Paris86,48.85239449781442,2.3689797569717514,Chez Margot,48.85181106403719,2.3645978263169347,French Restaurant,5488446.003170352,-425867.4101898058
3225,3225,Paris86,48.85239449781442,2.3689797569717514,Le Dindon en Laisse,48.853201203834466,2.36406147480011,French Restaurant,5488606.605071368,-425880.62064795895
3227,3227,Paris86,48.85239449781442,2.3689797569717514,L'Ambroisie,48.855340000000005,2.3643549999999998,French Restaurant,5488839.892699797,-425819.1681989563
3240,3240,Paris86,48.85239449781442,2.3689797569717514,Les Bonnes Sœurs,48.85600439835367,2.3669411195457117,French Restaurant,5488881.576476992,-425617.7167698763
3244,3244,Paris86,48.85239449781442,2.3689797569717514,L'Ange 20,48.85588954797418,2.367300855723016,French Restaurant,5488864.416478197,-425593.5699471646
3251,3251,Paris87,48.85357908349205,2.3796212109070822,Septime,48.85371909352586,2.3808563100373243,French Restaurant,5488456.85097163,-424643.2918003807
3258,3258,Paris87,48.85357908349205,2.3796212109070822,L'Ami Pierre,48.85158426254871,2.3782432158333773,French Restaurant,5488252.585010753,-424874.1772771706
3291,3291,Paris87,48.85357908349205,2.3796212109070822,L'Ébauchoir,48.84985125209524,2.3811800269331327,French Restaurant,5488024.423819565,-424691.8584670203
3293,3293,Paris87,48.85357908349205,2.3796212109070822,District Corner,48.85086918716217,2.378544316463824,French Restaurant,5488169.665243399,-424865.52312397433
3295,3295,Paris87,48.85357908349205,2.3796212109070822,Bistrot Paul Bert,48.852272039628275,2.384907992558985,French Restaurant,5488246.637275931,-424374.14109608135
3296,3296,Paris87,48.85357908349205,2.3796212109070822,Le Pure Café,48.85326699148342,2.383266857275992,French Restaurant,5488377.06746671,-424475.529644678
3300,3300,Paris87,48.85357908349205,2.3796212109070822,Will,48.84967463507285,2.379503280394026,French Restaurant,5488025.525501453,-424817.73178713606
3305,3305,Paris87,48.85357908349205,2.3796212109070822,Les Galopins,48.85530960386632,2.374728810520568,French Restaurant,5488708.563217252,-425061.4736455418
3307,3307,Paris87,48.85357908349205,2.3796212109070822,Aux Bons Crus,48.857113,2.3799193,French Restaurant,5488844.338191794,-424648.3955062302
3316,3316,Paris87,48.85357908349205,2.3796212109070822,Virtus,48.85019300099408,2.378059908587602,French Restaurant,5488100.73585913,-424913.5641713976
3323,3323,Paris87,48.85357908349205,2.3796212109070822,Chez Paul,48.85284892866376,2.374470816803968,French Restaurant,5488439.178797291,-425126.30955418374
3324,3324,Paris87,48.85357908349205,2.3796212109070822,Le 6 Paul Bert,48.85125285057995,2.3845861837267828,French Restaurant,5488137.707000817,-424416.6924875567
3329,3329,Paris87,48.85357908349205,2.3796212109070822,Les Portes,48.85294722618617,2.374751517909608,French Restaurant,5488446.605971322,-425103.95425436134
3341,3341,Paris87,48.85357908349205,2.3796212109070822,Le Square Trousseau,48.85019303352765,2.3764638431941942,French Restaurant,5488120.415393298,-425030.2392652796
3347,3347,Paris87,48.85357908349205,2.3796212109070822,La Fée Verte,48.85672993330633,2.3780062794685364,French Restaurant,5488825.485547949,-424795.3772400088
3348,3348,Paris88,48.85476270797723,2.390263358943174,Fulgurances l'Adresse,48.853003971346645,2.389786296990749,French Restaurant,5488267.624491313,-424003.88112711324
3352,3352,Paris88,48.85476270797723,2.390263358943174,Le Ciel,48.85316467285156,2.3903377056121826,French Restaurant,5488278.634888478,-423960.57522788714
3354,3354,Paris88,48.85476270797723,2.390263358943174,La Réserve des Initiés,48.855725784047614,2.3865973949432373,French Restaurant,5488608.394556766,-424186.17688530276
3359,3359,Paris88,48.85476270797723,2.390263358943174,Le Sot l'y Laisse,48.85427830584423,2.3955474129270398,French Restaurant,5488337.850840208,-423558.9819517733
3361,3361,Paris88,48.85476270797723,2.390263358943174,Bistrot Paul Bert,48.852272039628275,2.384907992558985,French Restaurant,5488246.637275931,-424374.14109608135
3379,3379,Paris88,48.85476270797723,2.390263358943174,Café Lino,48.854336341744315,2.3958447000711685,French Restaurant,5488340.620160478,-423536.1687101647
3380,3380,Paris88,48.85476270797723,2.390263358943174,Yard,48.85823317811163,2.3882672463724046,French Restaurant,5488865.568944921,-424017.32003693876
3389,3389,Paris88,48.85476270797723,2.390263358943174,Les Grands Enfants Restaurant,48.8567503932999,2.394129037857056,French Restaurant,5488629.143549839,-423616.5419254848
3391,3391,Paris88,48.85476270797723,2.390263358943174,L'Armagnac Café,48.85455779665495,2.3847687481105577,French Restaurant,5488501.544554094,-424341.6462046555
3395,3395,Paris88,48.85476270797723,2.390263358943174,L'office,48.856499353281485,2.394664843056893,French Restaurant,5488594.74005418,-423582.06156937615
3402,3402,Paris88,48.85476270797723,2.390263358943174,Le Colibri,48.85660266922093,2.394557775971671,French Restaurant,5488607.502329037,-423587.9600617568
3406,3406,Paris88,48.85476270797723,2.390263358943174,Le Rouge Limé,48.85465490847336,2.3855464888150735,French Restaurant,5488502.720132435,-424282.98368727334
3407,3407,Paris88,48.85476270797723,2.390263358943174,Chez Mamy,48.852803054289744,2.3852105012562115,French Restaurant,5488301.730612907,-424342.11472285504
3416,3416,Paris89,48.85594537111257,2.400906200574736,Quartier Rouge,48.8573832183941,2.398856265876336,French Restaurant,5488641.058552865,-423259.2131640535
